N049.01.11.5330008 E002.33.31.3760016 NE3
N049.01.11.9790012 E002.33.38.7460008 NE4
N049.00.59.4370008 E002.33.05.3139996 F
N049.00.52.5200004 E002.33.06.4500012 F
N049.00.46.8799992 E002.33.08.2339992 F
N049.00.40.6010016 E002.33.06.1250004 F
N049.00.28.2570012 E002.33.11.6409996 F
N049.00.18.2540016 E002.33.15.8590008 F
N049.00.07.5060 E002.33.20.7270 F
N049.00.44.4700008 E002.33.01.8650016 FN1
N049.00.25.3329984 E002.33.10.3790016 FN2
N049.00.19.5440004 E002.33.13.3899984 FN3
N049.00.13.1100012 E002.33.15.6800016 FN4
N049.00.01.4140008 E002.33.20.9180016 FN5
N049.00.26.3840004 E002.33.20.5130016 E
N049.00.28.6719984 E002.33.45.5990004 E
N049.00.29.8710 E002.34.00.8829984 E
N049.00.30.5250012 E002.34.13.6750008 E
N049.00.31.1240016 E002.34.25.3040016 E
N049.00.31.6689984 E002.34.34.8570012 E
N049.00.32.2139988 E002.34.44.0770008 E
N049.00.32.9220 E002.34.53.8790016 E
N049.00.33.3579996 E002.35.04.3450008 E
N049.00.33.7939992 E002.35.15.1429992 E
N049.00.35.4279996 E002.35.31.0920 E
N049.00.36.0550008 E002.35.42.8139996 E
N049.00.27.6099984 E002.35.43.8529992 E
N049.00.19.2330 E002.35.44.7870012 E
N049.00.12.6259992 E002.35.45.6180 E
N049.00.08.1990 E002.35.46.1370012 E
N049.00.29.6560008 E002.34.54.0609996 G
N049.00.30.0039984 E002.35.03.8299992 G
N049.00.31.2680016 E002.35.26.5560 G
N049.00.31.7909988 E002.35.35.8599984 G
N049.00.30.1790016 E002.35.38.4510012 G
N049.00.25.6020012 E002.35.38.9829984 G
N049.00.18.3229992 E002.35.40.0459992 G
N049.00.12.4380 E002.35.40.7770008 G
N049.00.08.3030004 E002.35.41.2860012 G
N049.00.13.2980004 E002.33.23.4219996 G1
N049.00.16.0700004 E002.33.23.1829992 G2
N049.00.20.3280012 E002.33.28.2719988 G3
N049.00.21.8530008 E002.33.42.4919988 G3
N049.00.22.9430016 E002.34.02.4949992 G3
N049.00.24.0090012 E002.34.14.9340 G3
N049.00.23.5199988 E002.34.18.7799988 G3 East
N049.00.25.6100004 E002.34.12.7200 G3 West
N049.00.27.9119988 E002.34.27.0819984 G4
N049.00.28.8709992 E002.34.44.2930008 G4
N049.00.20.6300016 E002.33.22.7199996 TB1
N049.00.25.9999992 E002.33.52.2900 TB2
N049.00.28.8650016 E002.34.19.6799988 TF1
N049.00.30.3289992 E002.34.32.3320008 TF2
N049.00.30.6429984 E002.34.38.2329984 TF3
N049.00.29.0930004 E002.34.48.6779988 TF4
N049.00.26.6609988 E002.34.51.8279988 TF5
N049.00.26.9219988 E002.34.56.8520004 TF6
N049.00.21.7779984 E002.34.21.0020016 E1
N049.00.24.1210008 E002.34.36.1200 E2
N049.00.23.9029992 E002.34.51.9859992 E3
N049.00.24.1210008 E002.34.57.0519984 E4
