COLOR_GrasSurface
N043.36.39.9489984 E001.22.20.5860
N043.36.39.9909996 E001.22.19.7109984
N043.36.40.8030012 E001.22.19.7979996
N043.36.40.8660012 E001.22.18.8709996
N043.36.46.2300012 E001.22.19.4009988
N043.36.45.0889992 E001.22.24.4729992
N043.36.44.8239996 E001.22.25.4290008
N043.36.45.1919988 E001.22.40.8470016
N043.36.44.8049988 E001.22.43.1540004
N043.36.44.5770 E001.22.43.6400004
N043.36.44.9600004 E001.22.44.6289996
N043.36.45.3800016 E001.22.46.7879988
N043.36.46.3200012 E001.22.51.6230004
N043.36.46.8330012 E001.22.54.2709984
N043.36.46.4060016 E001.22.55.4419992
N043.36.45.8790012 E001.22.56.8089984
N043.36.45.4500 E001.22.58.0320012
N043.36.45.1519992 E001.22.59.0139984
N043.36.44.8909992 E001.22.59.9769984
N043.36.44.6990004 E001.23.00.9489984
N043.36.44.8239996 E001.23.02.0360004
N043.36.45.1980 E001.23.03.0230016
N043.36.45.8049996 E001.23.04.1740008
N043.36.46.4230008 E001.23.05.3199996
N043.36.47.1080016 E001.23.06.4749984
N043.36.47.8839996 E001.23.07.6440012
N043.36.49.1490 E001.23.09.4120008
N043.36.50.0510016 E001.23.10.6559988
N043.36.50.8650012 E001.23.11.5550016
N043.36.51.2300016 E001.23.11.9500008
N043.36.53.3540016 E001.23.13.4909988
N043.36.54.0810 E001.23.14.0089992
N043.36.54.5540004 E001.23.14.1630
N043.36.55.6310016 E001.23.14.4989988
N043.36.56.4509988 E001.23.14.7750
N043.36.57.7509984 E001.23.15.3369996
N043.36.59.0690016 E001.23.15.9870012
N043.37.00.0969996 E001.23.16.4960016
N043.37.01.2799992 E001.23.17.0750004
N043.37.01.3010016 E001.23.16.9789992
N043.37.01.9070004 E001.23.17.3019984
N043.37.02.4160008 E001.23.17.5520004
N043.37.03.3150 E001.23.18.0279996
N043.37.03.3840012 E001.23.17.9760012
N043.37.05.5589988 E001.23.19.2069996
N043.37.06.4319988 E001.23.19.7570004
N043.37.06.9999996 E001.23.20.0299992
N043.37.07.4049996 E001.23.20.2220016
N043.37.07.4399988 E001.23.20.3020008
N043.37.08.5159992 E001.23.20.6549988
N043.37.09.4320012 E001.23.20.9040
N043.37.10.6470012 E001.23.21.1369992
N043.37.13.0159992 E001.23.20.0919984
N043.37.14.2579992 E001.23.19.8629988
N043.37.14.5020 E001.23.19.1540004
N043.37.14.7110016 E001.23.19.3059996
N043.37.15.7919988 E001.23.16.0230012
N043.37.17.0680008 E001.23.12.3420012
N043.37.18.0789996 E001.23.09.3689988
N043.37.19.8170004 E001.23.04.6079988
N043.37.21.8579988 E001.22.58.6409988
N043.37.23.7460008 E001.22.53.0460012
N043.37.24.0989988 E001.22.51.9520008
N043.37.24.2330016 E001.22.51.5259984
N043.37.24.3339996 E001.22.51.0120012
N043.37.24.4409988 E001.22.50.3519988
